Process_ID,Timestamp,Tool_Type,Wafer_ID,Chamber_Temperature,Gas_Flow_Rate,RF_Power,Etch_Depth,Rotation_Speed,Vacuum_Pressure,Stage_Alignment_Error,Vibration_Level,UV_Exposure_Intensity,Particle_Count,Defect,Join_Status
P1413,2025.7.1 5:12,Lithography,WAF58120,74.07772765,56.52743154,324.2819234,554.3580764,1397.936121,0.549974362,2.147302308,0.009007232,128.4193612,118,0,Joining
P1687,2025.7.1 3:54,Deposition,WAF31094,74.34149873,39.35080247,364.5270831,493.3828952,1433.488274,0.407350668,2.970405424,0.007926562,109.4498478,525,0,Joining
P1802,2025.7.1 1:26,Deposition,WAF44062,74.62609352,38.18139323,314.2571825,589.5444756,1311.34543,0.480282004,1.310555103,0.008855572,161.1726856,729,0,Joining
P1735,2025.7.1 3:57,Etching,WAF46726,79.46736447,47.56928449,301.464082,488.9861176,1342.92897,0.492940163,1.564590485,0.009415943,133.259454,178,0,Joining
P1444,2025.7.1 3:46,Lithography,WAF39030,76.22120526,59.15287325,289.702098,458.0127625,1785.025252,0.557100615,2.338088871,0.009590071,117.1293479,514,1,Non-Joining
P1831,2025.7.1 5:17,Lithography,WAF77484,72.40599979,52.23074273,286.1615431,495.4762486,1363.693532,0.432723772,3.133414419,0.009359728,139.2922202,513,0,Joining
P1571,2025.7.1 0:28,Etching,WAF93190,74.0315817,34.52468975,325.0602091,502.5032073,1860.943159,0.5578129,1.858771309,0.008603913,115.3911532,445,1,Non-Joining
P1821,2025.7.1 4:20,Deposition,WAF48082,74.97294333,34.67619601,219.5202679,564.1771085,1250.188972,0.5708609,0.037161801,0.009036525,136.7422354,653,0,Joining
P1170,2025.7.1 5:18,Etching,WAF90138,75.57456363,31.12906476,222.5659831,485.6605981,1037.924539,0.494761401,2.842610496,0.015431722,123.8181647,970,0,Joining
P1037,2025.7.1 0:21,Etching,WAF34798,89.37041349,74.38399345,221.1465866,618.6814594,1342.417979,0.446146042,1.823189733,0.015129952,154.0599377,787,0,Joining
P1915,2025.7.1 2:17,Lithography,WAF89845,74.77700664,46.81980094,279.9265393,563.0668381,2071.380657,0.392305376,0.197212614,0.01188655,108.9788465,298,0,Joining
P1708,2025.7.1 6:14,Lithography,WAF49453,85.66632341,69.29353344,285.9215986,511.2640617,1360.282764,0.529751555,2.423294373,0.018539926,118.536442,796,0,Joining
P1390,2025.7.1 4:23,Etching,WAF54023,69.66291507,50.12246941,271.6310637,403.2010038,1383.952796,0.43833021,1.82742469,0.003506171,122.5142518,109,0,Joining
P1180,2025.7.1 4:42,Etching,WAF25396,68.72265995,53.6103742,289.9401316,354.9799682,1472.780891,0.54395831,1.933856972,0.008120337,131.5097896,295,0,Joining
P1513,2025.7.1 3:19,Etching,WAF29329,79.98052395,51.28459116,358.7713031,508.0947111,1525.498455,0.52355158,1.065447465,0.005371865,143.3478794,845,0,Joining
P1617,2025.7.1 5:01,Etching,WAF59465,73.8744372,62.74118093,369.5860156,373.8211187,1412.856605,0.507387198,2.829094961,0.005823075,108.1674245,563,0,Joining
P1876,2025.7.1 0:29,Lithography,WAF96643,80.71027296,63.46212766,229.929044,385.8045647,1626.558336,0.404179048,2.651624157,0.010787692,106.2515941,674,0,Joining
P1755,2025.7.1 8:16,Lithography,WAF12684,73.46702738,40.37142895,267.3502101,451.3249688,1264.953409,0.473302547,1.578808981,0.012649936,109.0983052,545,0,Joining
P1386,2025.7.1 5:52,Etching,WAF95151,71.59516582,63.30257779,239.9217522,475.3272232,1113.29408,0.504429193,2.31910849,0.005137623,102.8518237,487,1,Non-Joining
P1851,2025.7.1 6:47,Lithography,WAF26705,82.01181327,46.8486683,307.9374934,464.2598974,1375.094123,0.498021893,1.989369549,0.01151954,134.5092316,949,1,Non-Joining
P1293,2025.7.1 8:14,Etching,WAF98484,76.27618978,53.02654431,327.7411749,468.0906254,1744.405576,0.509730823,0.415396056,0.014060958,107.3977887,703,1,Non-Joining
P1190,2025.7.1 1:52,Lithography,WAF52320,72.1480163,35.35547945,346.2799026,203.4044242,1427.899948,0.502854871,0.609911203,0.003254899,113.8992522,311,0,Joining
P1062,2025.7.1 3:52,Lithography,WAF54764,76.76756992,25.09248262,310.6222348,526.248925,1730.221141,0.516777614,2.228721926,0.010167258,122.7329925,595,0,Joining
P1168,2025.7.1 7:54,Deposition,WAF66820,69.51061856,57.63642584,315.7179188,611.3991956,1152.332112,0.514647929,2.254648963,0.001078697,95.33059939,112,0,Joining
P1546,2025.7.1 4:07,Deposition,WAF90800,76.93913671,44.22712149,355.9825508,505.6798972,1359.628708,0.477416833,2.752691822,0.019110153,116.621626,605,0,Joining
P1056,2025.7.1 8:16,Deposition,WAF29329,73.9510092,44.68389407,258.0438796,562.9904258,1681.891281,0.461428842,2.152874974,0.010248669,120.8653241,904,0,Joining
P1199,2025.7.1 1:38,Etching,WAF24937,74.32677954,45.12221968,309.4641871,434.8060574,1512.922912,0.505272281,1.823434541,0.014292561,111.6218243,641,0,Joining
P1885,2025.7.1 6:52,Lithography,WAF69416,79.5386276,34.07867666,329.0161103,603.9479085,1570.988738,0.506394049,1.302116318,0.013258206,98.91516399,476,0,Joining
P1339,2025.7.1 5:29,Etching,WAF97637,78.66420903,46.52935947,338.0757017,642.7546666,1296.320303,0.549821004,1.220935515,0.015217642,139.545499,375,1,Non-Joining
P1344,2025.7.1 7:22,Deposition,WAF66369,74.25234818,62.56281236,327.304876,358.8938312,1441.214483,0.4988804,-0.5198663,0.011102235,157.1929525,793,0,Joining
P1608,2025.7.1 0:16,Deposition,WAF53614,68.92078009,37.72541287,252.5805223,758.9605672,1486.997066,0.484867376,0.945519839,0.003740616,104.3918111,727,0,Joining
P1501,2025.7.1 2:13,Deposition,WAF73652,77.93226565,38.89520878,336.1880356,590.9512111,1641.247667,0.448152376,1.717445529,0.009675081,121.0689095,187,0,Joining
